楼盘名称,地址,单价,面积,数据来源
恒大金碧天下,双福园区成渝高速走马出口处,7800.0,,贝壳
爱普新鸿府,宝环路3号,16500.0,,贝壳
嘉裕国际社区,双福新区九江大道与创业路交汇处,6900.0,,贝壳
和记黄埔玥湖园,"玥湖路1号, 玥湖路8号",18000.0,,贝壳
翡翠御园,南山街道南山路33号,23000.0,,贝壳
财信赖特与山,铁山坪(铁山坪森林公园旁）,18000.0,,贝壳
香林豪郡2期,重庆市渝北区龙石路,15000.0,,贝壳
首地江山赋,重庆市渝北区悦山路5号,18000.0,,贝壳
协信敬澜山,高职城大道渝南汽配城旁,11000.0,,贝壳
鲁能泰山7号,重庆市中秋成大道与兰桂大道交汇处,25000.0,,贝壳
金科御临河,龙兴镇两江大道龙脑山公交站旁,16500.0,,贝壳
协信星澜汇,龙州大道起点（渝南大道与箭河路交界处）,23000.0,,贝壳
北辰悦来壹号,重庆市渝北区悦来街道悦融一路1号,16000.0,,贝壳
渝开发格莱美城,西永赖家桥轻轨站旁,11000.0,,贝壳
西永9号,陈家桥轻轨站旁约1.2公里,22000.0,,贝壳
御景国际,神女湖畔文昌路1号,5700.0,,贝壳
融创铂爵郡,鹿角新城,15000.0,,贝壳
中国摩,渝北空港东路777号（轨道3号线举人坝站旁）,14000.0,,贝壳
樾千山,金渝大道6号附近（重庆汽车研究院旁）,21000.0,,贝壳
仁能云的左岸,双福新区福云路399号,6000.0,,贝壳
首创西江阅,重庆市九龙坡区铝城大道实验小学旁,6500.0,,贝壳
乾和新天汇,滨江新城几江大桥旁,12000.0,,贝壳
祥豪维多利亚港湾,滨江大道158号,9500.0,,贝壳
荧鸿艾坪山1号,鼎山大道艾坪山一号,15000.0,,贝壳
桓大东方国际,青杠街白云大道200号,4988.0,,贝壳
首创天阅嘉陵,沙滨路双碑大桥旁,22000.0,,贝壳
传綦世界文旅城,滨河大道5号,20000.0,,贝壳
双福时代广场,津马大道 双福时代广场,20000.0,,贝壳
荣润半山国际,文龙街道沙溪路40号荣润半山国际,4300.0,,贝壳
中国铁建西派时代,龙汇路中国铁建西派时代,14000.0,,贝壳
金辉中央铭著,中秧公园正南门,15000.0,,贝壳
保亿湖山鹿鸣,怡林路保亿湖山鹿鸣,19000.0,,贝壳
海兰云天湖山壹号,海韵路海兰云天,16000.0,,贝壳
恒大国际文化城,马和路恒大国际文化城,6300.0,,贝壳
协信天骄溪悦,龙洲大道1399号,25000.0,,贝壳
金科碧桂园旭辉千江凌云,南滨南段梅沁绿洲湿地公园旁,11500.0,,贝壳
中建瑜和城,土桥新街与王家坝路交叉口西南150米,12500.0,,贝壳
麓铭府,重庆南岸区茶园新城东城大道,20000.0,,贝壳
悦麓山,重庆市巴南区福鹿大道1501号悦麓山销售中心,13700.0,,贝壳
华远海蓝城,花溪街道幺儿坪,14000.0,,贝壳
洺悦城,渝南大道洺悦城,10800.0,,贝壳
华侨城嘉陵江天,华侨城嘉陵江天云顶营销中心,22000.0,,贝壳
琅樾江山,大滨路（马桑溪古镇与义渡公园旁）,13500.0,,贝壳
荣盛华府,茶园新区天文大道,18500.0,,贝壳
中南玖宸,重庆市北碚区轻轨6号线曹家湾站旁，（中环快速干道南，蔡家岗立交旁）,11000.0,,贝壳
龙湖千山新屿,重庆市璧山绿岛新区枫香湖儿童公园旁,17000.0,,贝壳
阳光城天澜道11号,江北北滨二路（朝天门大桥旁）,20000.0,,贝壳
中骏璟颂,璧山区璧泉街道黛山大道秀湖公园旁,9100.0,,贝壳
金科集美东方,中龙路288号,8000.0,,贝壳
融创溪山春晓,重庆市北碚区同源路南佳汇苑融创溪山春晓,17000.0,,贝壳
绿城晓风印月,礼嘉北恒公园旁,23000.0,,贝壳
江津金科集美东方,双庆路江津金科集美东方,7500.0,,贝壳
金科集美文苑,钢花路金科集美文苑,7500.0,,贝壳
财信新界,华岩国际新城（轻轨五号线金建路站）,8000.0,,贝壳
商社又壹城,渝北新溉大道中段（唐家院子轻轨站旁）,16000.0,,贝壳
中粮金科浣溪锦云,渝南分流道与龙江大道交汇处,11800.0,,贝壳
溪山玥,渝南分流道花溪河畔,10800.0,,贝壳
新天泽樾麓台,同康路,15500.0,,贝壳
东旭御江湾,八公里东旭御江湾,11500.0,,贝壳
